date,load
2016/1/1,509.69
2016/1/2,667.8
2016/1/3,685.88
2016/1/4,673.16
2016/1/5,682.85
2016/1/6,
2016/1/7,680.95
2016/1/8,694.45
2016/1/9,732.1
2016/1/10,718.58
2016/1/11,685.13
2016/1/12,699.4
2016/1/13,701.57
2016/1/14,722.58
,
2016/1/16,706.87
2016/1/17,688.87
2016/1/18,677.28
2016/1/19,688.13
2016/1/20,711.61
2016/1/21,682.89
2016/1/21,679.61
2016/1/23,691.86
2016/1/24,688.16
2016/1/25,677.02
2016/1/26,653.72
2016/1/27,604.94
2016/1/28,523
,
2016/1/30,420.82
2016/1/31,374.09
2016/2/1,414.9
2016/2/2,420.43
2016/2/3,400.87
2016/2/4,382.14
2016/2/5,
2016/2/6,381.8
2016/2/7,392.77
2016/2/8,314.22
2016/2/9,302.41
2016/2/10,281.5
2016/2/11,268.49
2016/2/12,255.18
2016/2/13,266.64
2016/2/14,267.72
2016/2/15,327.43
2016/2/16,342.39
2016/2/17,354.89
2016/2/18,371.17
2016/2/19,403.02
2016/2/20,429.49
2016/2/21,464.23
2016/2/22,505.72
2016/2/23,520.57
2016/2/24,557.47
2016/2/25,587.95
2016/2/26,640.78
2016/2/27,642.98
2016/2/28,649.65
2016/2/29,680.96
2016/3/1,700.72
2016/3/2,695.99
2016/3/3,714.71
2016/3/4,717.82
2016/3/5,733.26
2016/3/6,
2016/3/7,730.96
2016/3/8,746.07
2016/3/9,745.4
2016/3/10,777.55
2016/3/11,796.71
2016/3/12,809.44
2016/3/13,817.37
2016/3/14,753.52
2016/3/15,778.98
2016/3/16,792.71
2016/3/17,769.11
2016/3/18,770.18
2016/3/19,775.1
2016/3/20,758.97
2016/3/21,
2016/3/22,771.68
2016/3/23,760.42
2016/3/24,768.99
2016/3/25,789.06
2016/3/26,780.45
2016/3/27,766.81
2016/3/28,785.17
2016/3/29,764.35
2016/3/30,755.53
2016/3/31,771.73
2016/4/1,770.43
2016/4/2,725.97
2016/4/3,675.06
2016/4/4,423.89
2016/4/5,680.43
2016/4/6,729.05
2016/4/7,726.22
2016/4/8,740.28
2016/4/9,731.23
2016/4/10,732.77
2016/4/11,696.67
2016/4/12,668.02
2016/4/13,697.05
2016/4/14,689.17
2016/4/15,698.72
2016/4/16,708.47
2016/4/16,708.47
2016/4/17,732.74
2016/4/18,725.97
2016/4/19,768.57
2016/4/20,780.21
2016/4/21,750.8
2016/4/22,769.67
2016/4/23,775.85
2016/4/24,763.5
2016/4/25,776.69
2016/4/26,731.12
,722.8
2016/4/28,715.75
2016/4/29,705.56
2016/4/30,697.7
2016/5/1,440.31
2016/5/2,561.09
2016/5/3,680.2
2016/5/4,697.89
2016/5/5,689.19
2016/5/6,
2016/5/7,
2016/5/8,700.61
2016/5/9,646.52
2016/5/10,655.9
2016/5/11,652.85
2016/5/12,666.7
2016/5/13,714.98
2016/5/14,723.01
2016/5/15,693.15
2016/5/16,688.16
2016/5/17,692.05
2016/5/18,691.41
2016/5/19,690.04
2016/5/20,697.44
2016/5/21,693.57
2016/5/22,686.64
2016/5/23,699.58
2016/5/24,688.94
2016/5/25,709
2016/5/26,711.41
2016/5/27,724.55
2016/5/28,741.92
2016/5/29,771.4
2016/5/30,715.93
2016/5/31,709.99
2016/6/1,747.47
2016/6/2,689.35
2016/6/3,690.12
2016/6/4,709.9
2016/6/5,688
2016/6/6,702.88
2016/6/7,721.21
2016/6/8,685.44
2016/6/9,416.14
2016/6/10,543.06
2016/6/11,683.13
2016/6/12,689.94
2016/6/13,702.06
2016/6/14,705.99
2016/6/15,693.65
2016/6/16,694.25
2016/6/17,686.77
2016/6/18,670.51
2016/6/19,688.73
2016/6/20,751.59
2016/6/21,799.58
2016/6/22,818.84
2016/6/23,842.5
2016/6/24,865.06
2016/6/25,772.63
2016/6/26,686.49
2016/6/27,738.41
2016/6/28,764.86
2016/6/29,798.91
2016/6/30,697.89
2016/7/1,748.87
2016/7/2,783.01
2016/7/3,804.79
2016/7/4,823.08
2016/7/5,853.52
2016/7/6,825.25
2016/7/7,808.35
2016/7/8,756.66
2016/7/9,688.92
2016/7/10,715.84
2016/7/11,712.79
2016/7/12,762.67
2016/7/12,762.67
2016/7/13,811.55
2016/7/14,848.65
2016/7/15,871
2016/7/16,876.47
2016/7/17,
2016/7/18,760.17
2016/7/19,787.82
2016/7/20,827.68
2016/7/21,890.52
2016/7/23,
2016/7/23,910.56
2016/7/24,883.02
2016/7/25,889.36
2016/7/26,894.18
2016/7/27,950.73
2016/7/28,946.24
2016/7/29,922.28
2016/7/30,
2016/7/31,832.2
2016/8/1,831.48
2016/8/2,852.89
2016/8/3,873.99
2016/8/4,859.17
2016/8/5,891.06
2016/8/6,845.66
2016/8/7,813.53
2016/8/8,832.35
2016/8/9,753.4
2016/8/10,834.09
2016/8/11,759.59
2016/8/12,825.69
2016/8/13,811.46
2016/8/14,787.67
2016/8/15,824.93
2016/8/16,837.7
2016/8/17,868.37
2016/8/18,893.14
2016/8/19,901.95
2016/8/20,931.25
2016/8/21,880.86
2016/8/22,858.72
2016/8/23,880.8
2016/8/24,875.79
2016/8/25,886.7
2016/8/26,
2016/8/27,767.77
2016/8/28,616.04
2016/8/29,598.36
2016/8/30,586.73
2016/8/31,594.69
2016/9/1,532.5
2016/9/2,534.56
2016/9/3,541.67
2016/9/4,514.4
2016/9/5,532.21
2016/9/6,593.96
2016/9/7,702.97
2016/9/8,718.56
2016/9/9,738.16
2016/9/10,751.03
2016/9/11,696.23
2016/9/12,
2016/9/13,652.61
2016/9/14,653.04
2016/9/15,401.09
2016/9/16,671.7
2016/9/17,773.81
2016/9/18,737.72
2016/9/19,711.19
2016/9/20,713.84
2016/9/21,708.02
2016/9/22,726.28
2016/9/23,720.46
2016/9/24,753.87
2016/9/25,735.88
2016/9/26,744.32
2016/9/27,734.5
2016/9/28,578.61
2016/9/29,644.62
2016/9/30,678.27
2016/10/1,481.27
2016/10/2,632.28
2016/10/3,736.56
2016/10/4,755.53
2016/10/5,734.91
2016/10/6,709.56
2016/10/7,709.91
2016/10/8,729.1
2016/10/9,664.01
2016/10/10,651.06
2016/10/11,668.87
2016/10/12,672.04
2016/10/13,
2016/10/14,689.43
2016/10/15,683.36
2016/10/16,693.91
2016/10/17,689.15
2016/10/18,669.08
2016/10/19,669.82
2016/10/20,673.83
2016/10/21,698.92
2016/10/22,714.76
2016/10/23,718.61
2016/10/24,701.52
2016/10/25,719.64
2016/10/26,728.24
2016/10/27,726.84
2016/10/28,747.25
2016/10/29,706.54
2016/10/30,698.22
2016/10/31,726
2016/11/1,684.45
2016/11/2,711.01
2016/11/3,714.29
2016/11/4,742.81
2016/11/5,739.96
2016/11/6,741.13
2016/11/7,746.43
2016/11/8,717.58
2016/11/9,718.63
2016/11/10,753.37
2016/11/11,767.71
2016/11/12,793.59
2016/11/13,758.2
2016/11/14,703.68
2016/11/15,
2016/11/16,744.52
2016/11/17,734.92
2016/11/18,754.05
2016/11/19,749.77
2016/11/20,743.39
2016/11/21,721.63
2016/11/22,
2016/11/23,741.52
2016/11/24,729.78
2016/11/25,767.54
2016/11/26,732.29
2016/11/27,727.9
2016/11/28,744.38
2016/11/29,728.98
2016/11/30,742.55
2016/12/1,737.97
2016/12/2,745.46
2016/12/3,732.33
2016/12/4,766.05
2016/12/5,764.01
2016/12/6,767.48
2016/12/7,762.7
2016/12/8,
2016/12/9,768.4
2016/12/10,766.58
2016/12/11,769.3
2016/12/12,750.19
2016/12/13,763.56
2016/12/14,764.26
2016/12/15,
2016/12/16,801.3
2016/12/17,
2016/12/18,800.7
2016/12/19,791.49
2016/12/20,788.08
2016/12/21,770.72
2016/12/22,782.66
2016/12/23,795.37
2016/12/24,803.64
2016/12/25,782.04
2016/12/26,791.73
2016/12/27,781.13
2016/12/28,814.39
2016/12/29,803.19
2016/12/30,
2016/12/31,810.67
