户号,逾期数量,运行容量,地市,电压等级,行业,缴费间隔天数,股权出质总金额,司法冻结金额,动产抵押金额,司法执行金额,工商异常数量,开庭公告数量,裁判文书数量,最大电量,最小电量,平均电量,最大电费,最小电费,平均电费
1000000001,0,800,3240101,AC00101,7220,30,0,0,0,0,0,2,10,2901280,659,248330.7083,2105005.89,354.74,200312.9229
1000000002,0,1000,3240101,AC00101,9910,31.5,0,0,0,0,0,1,4,532860,576,57545.45833,595758.88,439.47,55461.12625
1000000003,0,1260,3240101,AC00101,4800,31,0,3473600,0,0,0,0,12,460160,5335,91102.625,411337.81,4913.59,85106.23417
1000000004,1,400,3240101,AC00201,7520,28,0,0,0,0,0,7,17,784560,130,72849,764532.26,93.78,67348.07
1000000005,0,500,3240101,AC00101,590,30,0,0,0,0,0,0,1,3087780,676,168220.5833,2283531.14,363.89,130824.2608
1000000006,3,250,3240101,AC00201,7520,31,0,120000,0,0,1,6,5,2139360,130,135055.9583,1601493.97,104.43,104396.5271
1000000007,0,250,3240107,AC00101,4050,29.5,0,0,10000000,0,0,0,4,1705440,130,88617.375,1288913.51,93.78,68474.92542
1000000008,3,80,3240107,AC00101,8520,30,1220000,12100,0,0,0,3,11,333280,648,90178.70833,326635.91,348.82,83556.5775
1000000009,2,250,3240107,AC00101,7290,32,0,0,0,0,1,3,7,718000,130,93764.75,577327.12,104.43,81125.72542
1000000010,1,315,3240107,AC00101,9A00,31,0,0,0,11000,1,1,12,1034880,2444,85780.83333,799943.67,1228.74,74585.26167
1000000011,4,200,3240107,AC00101,8431,33.5,0,0,21000,0,2,0,3,1197200,588,101783.4583,923947.58,909.46,85062.68083
1000000012,2,500,3240110,AC00101,6562,30.5,0,0,0,10000,1,0,6,262400,130,48858.08333,256452.56,104.43,44831.505
1000000013,0,800,3240110,AC00101,7990,30,0,0,0,0,0,1,5,1750380,130,163718.9583,1363108.83,87.67,131197.2887
1000000014,3,315,3240106,AC00101,1490,28,0,0,0,217000,0,2,6,1890700,710,119554.2917,1419854.92,382.19,96184.4775
1000000015,4,250,3240106,AC00101,4090,29.5,120000,72000,0,0,1,4,11,1420180,130,85476.5,935387.04,104.43,62735.645
1000000016,2,800,3240106,AC00101,5020,30,0,0,30000,0,1,1,20,123450,130,25663.95833,109252.59,101.45,22310.01458
1000000017,0,1000,3240106,AC00101,3429,30,0,0,0,0,0,0,2,1822120,130,114991.9583,1342401.59,93.78,89386.29083
1000000018,3,80,3240106,AC00101,3660,31,0,3500000,2000,125539,0,0,12,333210,594,41948.20833,324671.37,406.42,37399.73958
1000000019,1,30,3240106,AC00101,3450,29.5,0,50000,0,0,0,2,5,2186800,130,115822.8333,1615045.7,93.78,88917.525
1000000020,1,630,3240106,AC00101,3990,27.5,0,0,0,0,1,0,10,178220,130,38813.5,157361.71,104.43,33603.62333
1000000021,1,250,3240106,AC00101,3060,30,0,0,0,0,0,2,2,273040,130,44059.75,285261.39,92.54,42366.48667
1000000022,0,2000,3240109,AC00101,8020,31,0,0,0,0,0,0,2,2379680,5181,179961.7083,1723081.96,4453.89,141583.0992
1000000023,3,315,3240109,AC00101,8020,29.5,0,70000,0,0,0,10,20,801240,683,87052.08333,774719.93,367.66,79043.33
1000000024,0,250,3240110,AC00101,3990,31,0,0,0,0,0,0,7,2787280,862,186385.7083,2068568.87,475.87,153061.5733
1000000025,1,630,3240110,AC00101,3750,29,0,0,0,0,0,7,16,813260,130,71089.25,720519.24,93.78,62756.37958
1000000026,3,630,3240110,AC00101,7210,31,3000000,0,0,100000,2,8,4,257690,471,55534.16667,250436.27,209.24,51299.54542
1000000027,5,80,3240110,AC00101,2110,29.5,3720000,0,0,0,1,4,16,2408140,718,167697.0417,1810393.45,386.5,137695.4671
1000000028,3,630,3240110,AC00101,3990,29,0,0,0,0,0,1,2,1991240,130,200827.8333,1504150.5,103.54,154830.3471
1000000029,2,400,3240110,AC00101,5010,29,0,0,0,0,1,1,6,269490,576,36257.375,279172.09,899.74,32435.53167
1000000030,1,630,3240110,AC00101,4060,30,0,231000,0,0,1,1,5,1925700,3149,130501.5,1408879.35,2457.48,101849.8988
1000000031,2,630,3240110,AC00101,5020,31,0,0,10000,0,0,1,6,2611080,726,272171.9167,1949058.61,390.81,214949.5508
1000000032,1,400,3240110,AC00101,7210,30,0,0,6300,0,0,3,3,135460,426,26340.79167,111598.53,352.01,22564.95
1000000033,2,2050,3240110,AC00101,8160,29,0,0,0,0,0,1,16,152580,130,48824.04167,129066.02,93.78,40278.73458
1000000034,4,1260,3240110,AC00101,7210,31,71000,45495500,0,40000,0,4,12,1969920,130,204983.0417,1449377.85,98.81,177393.6629
1000000035,4,630,3240110,AC00101,3740,30,0,0,7900000,0,1,1,11,415020,546,39694.08333,507147.63,446.97,38574.1725
1000000036,2,830,3240110,AC00101,7210,30,0,0,0,0,0,1,21,373770,671,60646.5,361127.28,361.2,55648.1475
1000000037,0,200,3240110,AC00101,3660,30,0,0,0,0,0,3,11,2396940,1674,143605.0417,1745342.53,1200.44,110259.9167
1000000038,0,5200,3240110,AC00101,6562,30,0,0,0,0,0,2,10,1487180,670,120736.8333,1126196.97,360.66,103465.9375
1000000039,0,630,3240110,AC00101,1410,30,0,0,0,0,0,2,12,1904500,576,116900.375,1415996.88,449.05,94373.06875
1000000040,0,200,3240110,AC00101,7990,31,0,0,0,0,0,1,3,761440,130,66683.70833,755595.08,104.43,61733.94
1000000041,1,50,3240110,AC00101,3990,30.5,0,0,0,0,0,1,0,832800,1914,117032.5833,660987.16,1249.11,102133.7129
1000000042,1,100,3240110,AC00101,6510,30,0,10000000,0,0,0,1,16,829600,810,62008.16667,800166.65,466.82,56135.09167
1000000043,1,250,3240108,AC00101,3530,31.5,0,6070000,0,0,0,3,3,882880,659,94446.54167,695083.79,354.74,80888.92667
1000000044,0,315,3240108,AC00101,3152,28,0,0,0,0,0,0,0,284970,576,53727.04167,294877.08,380.58,50139.05167
1000000045,0,30,3240111,AC00101,4720,32,0,0,0,0,0,1,2,2100100,396,137043.625,1539973.91,336.32,108394.9971
1000000046,2,80,3240111,AC00101,7210,29.5,0,80000000,4500000,0,1,3,5,194040,4299,42119.83333,216706.52,3420.42,37566.09625
1000000047,3,50,3240111,AC00101,7220,31.5,0,54000,0,0,0,2,4,1804880,2004,120974.8333,1348833.39,2336.46,99425.90417
1000000048,0,160,3240111,AC00101,8390,29,0,0,0,0,0,5,3,418920,130,59111.20833,508667.09,98.89,57856.53
1000000049,2,160,3240111,AC00101,3790,31,0,0,44000,0,0,1,34,877400,548,90030.16667,842957.56,378.34,81637.12458
1000000050,0,250,3240111,AC00101,5210,30.5,0,0,0,0,0,1,4,164370,130,34131.33333,151181.19,89.75,29258.7425
1000000051,0,800,3240101,AC00101,9490,31,0,0,0,0,0,0,0,309737,8348,54656.58333,164928.04,3614.32,30019.8775
1000000052,2,1000,3240101,AC00101,7220,29.5,0,0,0,0,0,1,6,518400,8383,82915.25,412058.69,5023.19,52310.4075
1000000053,1,1260,3240101,AC00101,8420,29,0,0,0,0,0,0,0,478058,4795,115279.6667,256739.09,2699.24,71110.165
1000000054,0,400,3240101,AC00101,7220,29,0,0,0,0,0,0,0,1010580,14883,141019.75,760700.16,8042.54,90267.60167
1000000055,8,500,3240101,AC00101,8520,29,36060000,10000000,0,0,4,4,5,5647560,3765,457409.25,3007131.43,2575.27,252233.2571
1000000056,0,250,3240101,AC00101,8432,31,0,0,0,0,0,0,0,632080,891,142732.125,475642.73,1310.76,97625.23792
1000000057,11,250,3240101,AC00101,8441,28.5,0,4600000,1000000,0,1,2,4,474984,9804,101056.0417,256471.73,5303.49,63778.75208
1000000058,0,80,3240101,AC00101,9490,29.5,0,0,0,0,0,0,0,742560,9976,148883.2917,549321.26,5311.88,103527.2104
1000000059,2,250,3240101,AC00101,8420,30,0,0,0,49054618,0,1,5,497700,8227,102794.7917,355273.74,4428.6,69155.32667
1000000060,0,315,3240101,AC00101,9910,29,0,0,0,0,0,0,0,646560,930,95077.45833,503322.52,1355.32,60766.21417
1000000061,2,200,3240101,AC00101,7220,29,0,0,0,0,0,0,5,517392,8997,133633.0417,297010.16,5849.93,82355.06458
1000000062,2,500,3240101,AC00101,7220,30,0,0,0,0,0,0,0,4184120,13422,420926.4167,2227899.97,7225.05,234254.3013
1000000063,0,800,3240101,AC00101,7220,29.5,0,0,0,0,0,1,0,3021320,11740,313121.9167,1608748.98,4925.4,177020.4633
1000000064,1,315,3240101,AC00101,7220,29,0,0,0,0,0,1,0,739696,8123,132940.9583,399207,4325.22,84445.78
1000000065,2,250,3240101,AC00101,7220,30,0,0,0,0,0,0,0,549900,896,102285.125,419582.23,1318.08,65274.08042
1000000066,8,800,3240101,AC00101,7220,30.5,452100,3983968,5725128,731301,2,8,14,3448880,1292,205758.5,1836409.95,1908.64,115231.9208
1000000067,0,1000,3240101,AC00101,7220,31,0,0,0,0,0,0,1,269906,11536,76415.20833,154750.15,6142.52,49565.4575
1000000068,9,80,3240101,AC00101,8441,29,0,1411832,360863,0,5,7,7,4176800,8874,418327.7083,2224052.86,4725.2,231618.9667
1000000069,3,30,3240101,AC00101,7220,31,0,0,0,0,0,2,7,2877680,5456,255959.0833,1532265.61,3139.11,148296.0592
1000000070,2,630,3240101,AC00101,7210,30,0,1200000,0,0,1,1,2,2981400,886,215500.625,1587529.01,1303.44,123391.6692
1000000071,2,250,3240101,AC00101,8110,29,0,0,3600000,0,1,0,0,453600,5912,102647.25,348133.98,3147.94,72722.26542
1000000072,0,2000,3240101,AC00101,8110,29.5,0,0,0,0,0,0,2,2406080,5887,147349.0833,1281154.84,3215.71,81846.88
1000000073,0,315,3240110,AC00101,1810,30.5,0,0,0,0,0,5,3,2733720,1120,185852.875,1455644.95,1686.95,105321.5746
1000000074,1,250,3240110,AC00101,3790,29.5,0,0,0,0,0,0,0,2270520,11082,195120.7917,1209001.27,5900.92,117133.1458
1000000075,0,630,3240101,AC00101,8420,30,0,0,0,0,0,0,0,328384,8388,87237.83333,177278.02,2888.5,54968.31583
1000000076,2,630,3240101,AC00101,8420,29,0,0,0,0,0,100,2,1035240,883,157335.125,821472.39,1298.99,112934.6579
1000000077,2,80,3240101,AC00101,8420,29.5,0,0,0,0,0,1,6,2914920,8006,403988.5417,1552129.91,5770.04,227298.3875
1000000078,2,630,3240101,AC00101,8442,29,2400000,1050000,0,0,0,0,0,272664,1053,69644.58333,145253.89,1601.26,42819.04042
1000000079,0,400,3240101,AC00101,8441,29.5,0,0,0,0,0,0,0,2596360,7327,257742.0833,1382472.38,4002.3,160650.0525
1000000080,0,630,3240101,AC00101,7210,29,0,0,0,0,0,0,0,2163080,5379,184228.7917,1151791.87,3003.47,110293.3533
1000000081,0,630,3240101,AC00101,9910,31,0,0,0,0,0,0,2,411500,3273,73617.33333,349938.45,3858.33,50821.63667
1000000082,8,400,3240101,AC00101,7210,30.5,0,3614963,124761,4255000,3,10,8,236560,8985,83069.91667,164699.13,5311.89,52433.495
1000000083,2,2050,3240101,AC00101,7220,28.5,0,32000000,0,0,2,12,0,436520,7219,80753.33333,365864.88,3981.71,53859.59833
1000000084,0,1260,3240101,AC00101,6011,30.5,0,0,0,0,0,0,0,504780,13552,135074.125,342751.39,7216.14,85302.50292
1000000085,3,630,3240101,AC00101,4450,30,10000000,0,0,0,0,7,0,2633600,893,185615.2917,1402301.4,1255.84,107732.3137
1000000086,0,830,3240101,AC00101,8441,30.5,0,0,0,0,0,6,21,434160,13120,105157.7917,336313.84,8167.49,67568.76333
1000000087,2,200,3240101,AC00101,6710,29.5,0,0,0,0,0,0,0,942360,1249,115196.9167,737283.03,1490.38,79573.0775
1000000088,1,5200,3240101,AC00101,8432,29.5,0,32100000,0,0,0,0,0,3355880,7596,257848.9583,1786931.26,4044.7,155793.2025
1000000089,2,630,3240101,AC00101,6530,28.5,0,0,0,445496353,0,8,63,235582,975,69324.375,201976.02,1294.18,46731.59667
1000000090,0,200,3240101,AC00101,8431,29.5,0,0,0,0,0,0,0,911100,12768,126664.2083,685818.14,6798.68,86775.32875
1000000091,1,50,3240101,AC00101,6710,30.5,0,0,0,0,0,0,0,582920,11348,120898.4583,480746.65,6042.56,88996.66542
1000000092,1,100,3240101,AC00101,7210,31,0,0,0,0,0,0,0,2359240,1419,206865.4167,1256242.68,2173,120978.5333
1000000093,1,250,3240101,AC00101,8441,29,0,0,0,0,0,0,0,611040,7816,137672.4583,471856.15,4331.46,99405.52708
1000000094,1,315,3240101,AC00101,8441,29.5,0,0,0,0,0,0,0,4934760,4585,318585.5833,2627589.93,2577.55,189605.0021
1000000095,15,30,3240101,AC00101,9910,31,7000000,600000,0,200000,6,9,7,474040,13452,147672.625,406099.99,7241.21,95250.79417
1000000096,0,80,3240101,AC00101,9910,32,0,0,0,0,0,0,0,800700,6028,150274.4167,533695.77,3209.77,103696.8254
1000000097,0,50,3240101,AC00101,9910,30,0,0,0,0,0,0,0,3699200,885,255692.9167,1969696.74,1217.22,155493.505
1000000098,1,160,3240101,AC00101,9910,29,0,0,0,3600000,2,4,0,485220,11010,125892.2917,377056.19,5926.68,79226.90833
1000000099,1,160,3240101,AC00101,9910,31,0,0,0,0,0,0,0,522200,2981,99810.08333,436219.12,2954.09,66767.01958
1000000100,2,250,3240101,AC00101,9910,31,0,0,0,0,0,0,0,446320,7972,94650.83333,378067.09,4354.76,65833.99458
