序号,日期,日用电总量
0,2018/1/1,23316.6
1,2018/1/2,23129.44
2,2018/1/3,24659.84
3,2018/1/4,24909.19
4,2018/1/5,25978.23
5,2018/1/6,26670.87
6,2018/1/7,27069.55
7,2018/1/8,26275.89
8,2018/1/9,26182.07
9,2018/1/10,26178.2
10,2018/1/11,25825.21
11,2018/1/12,25334.08
12,2018/1/13,25582.19
13,2018/1/14,25603.38
14,2018/1/15,25251.56
15,2018/1/16,24174.58
16,2018/1/17,24506.18
17,2018/1/18,24033.88
18,2018/1/19,23377.97
19,2018/1/20,23634.22
20,2018/1/21,23976.07
21,2018/1/22,22803.79
22,2018/1/23,23674.07
23,2018/1/24,24573.13
24,2018/1/25,25548.14
25,2018/1/26,26781.47
26,2018/1/27,27370.69
27,2018/1/28,28347.79
28,2018/1/29,28240.8
29,2018/1/30,29027.25
30,2018/1/31,28192.43
31,2018/2/1,27289.8
32,2018/2/2,27944.8
33,2018/2/3,28053.78
34,2018/2/4,27680.22
35,2018/2/5,27440.1
36,2018/2/6,26367.47
37,2018/2/7,25911.28
38,2018/2/8,26063.76
39,2018/2/9,26125.11
40,2018/2/10,26450.41
41,2018/2/11,26017.65
42,2018/2/12,25718.05
43,2018/2/13,24537.78
44,2018/2/14,23309.77
45,2018/2/15,21710.64
46,2018/2/16,18656.89
47,2018/2/17,18119.08
48,2018/2/18,18388.78
49,2018/2/19,18868.0
50,2018/2/20,21323.06
51,2018/2/21,22350.64
52,2018/2/22,22747.15
53,2018/2/23,22700.93
54,2018/2/24,22887.2
55,2018/2/25,22809.49
56,2018/2/26,21734.15
57,2018/2/27,20854.39
58,2018/2/28,20142.22
59,2018/3/1,20228.18
60,2018/3/2,20206.96
61,2018/3/3,20974.83
62,2018/3/4,22247.1
63,2018/3/5,20921.23
64,2018/3/6,22263.95
65,2018/3/7,21216.66
66,2018/3/8,20729.15
67,2018/3/9,20593.34
68,2018/3/10,20938.24
69,2018/3/11,21175.23
70,2018/3/12,19129.82
71,2018/3/13,18642.4
72,2018/3/14,18125.07
73,2018/3/15,18173.37
74,2018/3/16,19666.93
75,2018/3/17,23018.51
76,2018/3/18,24572.74
77,2018/3/19,22634.49
78,2018/3/20,23448.02
79,2018/3/21,22288.59
80,2018/3/22,21293.03
81,2018/3/23,20939.53
82,2018/3/24,21435.94
83,2018/3/25,22130.58
84,2018/3/26,20275.1
85,2018/3/27,19385.96
86,2018/3/28,18739.21
87,2018/3/29,18254.74
88,2018/3/30,18346.47
89,2018/3/31,19437.24
90,2018/4/1,19167.01
91,2018/4/2,17531.14
92,2018/4/3,17048.79
93,2018/4/4,18337.94
94,2018/4/5,19416.27
95,2018/4/6,22187.82
96,2018/4/7,22417.67
97,2018/4/8,20778.3
98,2018/4/9,19325.42
99,2018/4/10,19224.12
100,2018/4/11,19835.07
101,2018/4/12,22035.5
102,2018/4/13,22973.1
103,2018/4/14,23077.01
104,2018/4/15,22525.82
105,2018/4/16,20477.15
106,2018/4/17,19387.76
107,2018/4/18,18329.97
108,2018/4/19,17667.75
109,2018/4/20,17984.51
110,2018/4/21,18188.48
111,2018/4/22,18313.86
112,2018/4/23,17792.86
113,2018/4/24,19336.22
114,2018/4/25,18672.32
115,2018/4/26,18022.31
116,2018/4/27,17495.61
117,2018/4/28,17632.47
118,2018/4/29,17177.83
119,2018/4/30,16326.83
120,2018/5/1,17046.6
121,2018/5/2,16788.58
122,2018/5/3,16611.51
123,2018/5/4,16686.1
124,2018/5/5,17745.06
125,2018/5/6,18573.32
126,2018/5/7,17240.82
127,2018/5/8,17439.23
128,2018/5/9,18231.71
129,2018/5/10,19667.39
130,2018/5/11,18455.01
131,2018/5/12,18583.16
132,2018/5/13,17725.05
133,2018/5/14,16063.27
134,2018/5/15,15726.93
135,2018/5/16,15439.56
136,2018/5/17,15157.09
137,2018/5/18,15280.75
138,2018/5/19,16803.67
139,2018/5/20,17628.23
140,2018/5/21,17928.16
141,2018/5/22,17409.03
142,2018/5/23,14855.89
143,2018/5/24,16649.36
144,2018/5/25,16071.88
145,2018/5/26,17610.53
146,2018/5/27,17870.4
147,2018/5/28,16100.28
148,2018/5/29,15427.89
149,2018/5/30,15469.52
150,2018/5/31,15469.25
151,2018/6/1,15274.49
152,2018/6/2,16139.91
153,2018/6/3,17086.87
154,2018/6/4,15618.18
155,2018/6/5,15419.34
156,2018/6/6,15458.88
157,2018/6/7,15821.93
158,2018/6/8,16789.04
159,2018/6/9,16942.94
160,2018/6/10,16663.82
161,2018/6/11,15417.26
162,2018/6/12,15220.2
163,2018/6/13,15100.89
164,2018/6/14,15037.88
165,2018/6/15,15298.06
166,2018/6/16,15043.35
167,2018/6/17,15203.36
168,2018/6/18,16105.7
169,2018/6/19,15471.94
170,2018/6/20,15116.48
171,2018/6/21,14862.31
172,2018/6/22,14959.16
173,2018/6/23,15356.29
174,2018/6/24,16027.43
175,2018/6/25,15676.15
176,2018/6/26,15267.02
177,2018/6/27,15007.04
178,2018/6/28,14813.66
179,2018/6/29,14836.91
180,2018/6/30,15359.69
181,2018/7/1,15446.57
182,2018/7/2,15408.34
183,2018/7/3,15691.3
184,2018/7/4,15640.71
185,2018/7/5,15350.13
186,2018/7/6,14977.35
187,2018/7/7,15486.68
188,2018/7/8,16211.95
189,2018/7/9,15930.29
190,2018/7/10,16513.99
191,2018/7/11,16052.96
192,2018/7/12,16129.79
193,2018/7/13,15744.96
194,2018/7/14,15745.75
195,2018/7/15,15898.56
196,2018/7/16,15820.89
197,2018/7/17,15350.42
198,2018/7/18,15310.64
199,2018/7/19,15306.41
200,2018/7/20,15576.53
201,2018/7/21,15325.93
202,2018/7/22,15947.19
203,2018/7/23,15618.2
204,2018/7/24,15169.58
205,2018/7/25,15849.13
206,2018/7/26,15898.08
207,2018/7/27,15671.94
208,2018/7/28,15413.39
209,2018/7/29,15961.29
210,2018/7/30,15845.36
211,2018/7/31,15113.07
212,2018/8/1,15139.37
213,2018/8/2,15324.41
214,2018/8/3,15456.41
215,2018/8/4,14758.83
216,2018/8/5,14880.05
217,2018/8/6,15723.81
218,2018/8/7,15787.46
219,2018/8/8,15406.87
220,2018/8/9,15301.11
221,2018/8/10,15168.1
222,2018/8/11,14990.6
223,2018/8/12,15017.35
224,2018/8/13,14766.23
225,2018/8/14,14860.7
226,2018/8/15,14987.28
227,2018/8/16,14554.53
228,2018/8/17,14553.25
229,2018/8/18,14562.64
230,2018/8/19,15136.85
231,2018/8/20,15079.02
232,2018/8/21,15399.85
233,2018/8/22,15020.52
234,2018/8/23,15178.56
235,2018/8/24,15303.82
236,2018/8/25,15642.6
237,2018/8/26,15722.15
238,2018/8/27,15352.06
239,2018/8/28,15225.09
240,2018/8/29,15333.72
241,2018/8/30,15337.78
242,2018/8/31,15109.38
243,2018/9/1,16017.44
244,2018/9/2,15780.84
245,2018/9/3,15047.68
246,2018/9/4,15193.28
247,2018/9/5,15333.39
248,2018/9/6,15492.82
249,2018/9/7,15676.84
250,2018/9/8,16110.71
251,2018/9/9,17321.92
252,2018/9/10,16247.14
253,2018/9/11,16048.26
254,2018/9/12,15769.91
255,2018/9/13,16222.87
256,2018/9/14,16600.67
257,2018/9/15,18337.56
258,2018/9/16,19036.61
259,2018/9/17,19182.92
260,2018/9/18,19317.81
261,2018/9/19,19243.47
262,2018/9/20,18304.36
263,2018/9/21,18062.15
264,2018/9/22,18320.7
265,2018/9/23,17669.55
266,2018/9/24,18067.2
267,2018/9/25,19560.5
268,2018/9/26,19937.81
269,2018/9/27,20745.67
270,2018/9/28,19937.06
271,2018/9/29,19368.89
272,2018/9/30,19493.14
273,2018/10/1,18926.25
274,2018/10/2,18177.75
275,2018/10/3,17532.38
276,2018/10/4,17317.96
277,2018/10/5,17450.71
278,2018/10/6,18695.42
279,2018/10/7,20015.99
280,2018/10/8,19460.24
281,2018/10/9,20152.45
282,2018/10/10,20183.94
283,2018/10/11,20272.22
284,2018/10/12,20164.21
285,2018/10/13,22768.67
286,2018/10/14,23260.01
287,2018/10/15,21699.13
288,2018/10/16,21415.59
289,2018/10/17,21796.87
290,2018/10/18,23246.43
291,2018/10/19,25262.73
292,2018/10/20,28582.98
293,2018/10/21,27779.95
294,2018/10/22,26664.64
295,2018/10/23,24832.12
296,2018/10/24,24278.4
297,2018/10/25,24332.94
298,2018/10/26,24644.76
299,2018/10/27,25763.63
300,2018/10/28,25911.22
301,2018/10/29,23748.83
302,2018/10/30,23521.53
303,2018/10/31,23195.98
304,2018/11/1,23141.04
305,2018/11/2,23026.21
306,2018/11/3,26126.58
307,2018/11/4,28253.19
308,2018/11/5,26429.88
309,2018/11/6,25058.36
310,2018/11/7,24411.87
311,2018/11/8,22822.88
312,2018/11/9,23179.93
313,2018/11/10,26113.63
314,2018/11/11,25758.83
315,2018/11/12,23443.21
316,2018/11/13,23381.68
317,2018/11/14,24122.3
318,2018/11/15,24745.11
319,2018/11/16,26554.93
320,2018/11/17,28207.23
321,2018/11/18,26848.69
322,2018/11/19,24104.24
323,2018/11/20,24266.16
324,2018/11/21,24052.02
325,2018/11/22,23684.18
326,2018/11/23,23463.37
327,2018/11/24,24099.84
328,2018/11/25,23306.09
329,2018/11/26,22191.17
330,2018/11/27,21879.97
331,2018/11/28,21616.83
332,2018/11/29,21181.67
333,2018/11/30,21588.79
334,2018/12/1,22713.18
335,2018/12/2,23919.73
336,2018/12/3,22803.15
337,2018/12/4,23532.98
338,2018/12/5,23297.45
339,2018/12/6,23796.11
340,2018/12/7,25860.76
341,2018/12/8,29692.3
342,2018/12/9,29774.86
343,2018/12/10,27313.85
344,2018/12/11,27220.69
345,2018/12/12,26539.87
346,2018/12/13,26349.03
347,2018/12/14,26174.36
348,2018/12/15,26903.04
349,2018/12/16,25961.5
350,2018/12/17,23872.51
351,2018/12/18,23143.85
352,2018/12/19,22653.13
353,2018/12/20,22993.53
354,2018/12/21,24044.51
355,2018/12/22,25127.09
356,2018/12/23,25573.24
357,2018/12/24,24476.38
358,2018/12/25,24200.11
359,2018/12/26,24194.21
360,2018/12/27,25152.58
361,2018/12/28,25983.5
362,2018/12/29,26334.31
363,2018/12/30,28174.93
364,2018/12/31,27139.9
